trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
287,False,"{'a': 0.5, 'e': 0.26639497381892985}",20,14,0.6473887205834661,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.24878912311983836}",20,12,2.599571531992269,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.23197889272644756}",25,14,22.384123410245312,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.21597793879034743}",30,18,22.011623101550846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.2007921179774138}",30,5,41.434086531195724,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.18642015928892308}",20,1,-22.159460598124447,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
293,False,"{'a': 0.5, 'e': 0.1728544046848982}",25,12,15.410046449096537,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.1600815881891433}",25,0,-0.7754095447813214,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
295,False,"{'a': 0.5, 'e': 0.14808362651843998}",30,12,-25.015452437004544,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.13683839828260524}",25,3,33.795825781907766,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.1263204930950833}",20,7,23.985489059450586,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.11650191622136141}",20,1,22.699178419216256,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.10735273844795723}",25,11,12.395988630760925,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.09884168451886588}",25,8,-19.300841263928582,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 0.5, 'e': 0.0909366566623433}",20,9,18.02270106879751,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.08360519237476971}",20,7,24.97732715915172,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.07681485773807184}",30,8,35.93357861536593,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.07053357915139358}",20,8,18.951255492758897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.06472991750545865}",20,12,14.637958171101765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.0593732895798148}",20,8,21.034370479667356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.05443414186402573}",25,13,25.292741741308912,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.04988408215817841}",20,7,29.067520649913988,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.04569597425592131}",20,10,18.431673059333594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.041844000808285764}",20,9,19.828793241427306,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.03830369915484866}",30,12,34.31313137599119,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.035051974528714336}",20,8,22.337222287175585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.032067094624072645}",25,0,30.42109142754167,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
314,False,"{'a': 0.5, 'e': 0.029328669083715342}",25,3,36.98639201013502,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.026817617036753894}",20,10,19.46684022221428,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.02451612540674375}",20,12,14.603836818148295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.022407600326120103}",25,16,4.947515570842644,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.020476613639606844}",25,15,18.113901894536234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.018708846159793624}",20,7,21.10771427394942,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.017091029053179385}",20,8,19.86583207120983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.015610884484012377}",30,8,41.14721265461378,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.01425706642464264}",25,17,17.605970659098734,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.013019102352618606}",20,8,23.49059626495696,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.011887336393822223}",25,7,31.40556179832248,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.010852874334840612}",30,18,22.707191494481936,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.009907530813731413}",25,10,30.30254317849903,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
